date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:31	0/0	---M--	200	added ('OK')	text/plain	etag:%2259aaea05-0%22	http://www.tedxyouthalamitosbay.com/robots.txt		(from )
12:44:31	55221/55221	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:44:35%20GMT	http://www.tedxyouthalamitosbay.com/	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/index.html	(from )
12:44:31	6817/6817	---MCZ	200	added ('OK')	text/css	etag:W/%2259aaef19-1aa1%22	http://www.tedxyouthalamitosbay.com/wp-content/themes/themify-ultra/themify/css/themify.common.css?ver=5.2.5	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-content/themes/themify-ultra/themify/css/themify.common6619.css	(from http://www.tedxyouthalamitosbay.com/)
12:44:32	11382/11382	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22a03f6ae7ee972a6dd4c59486ce3099b3-gzip%22	http://www.tedxyouthalamitosbay.com/feed/	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/feed/index.html	(from http://www.tedxyouthalamitosbay.com/)
12:44:32	41045/41045	---MCZ	200	added ('OK')	text/css	etag:W/%225ee100b8-a055%22	http://www.tedxyouthalamitosbay.com/wp-includes/css/dist/block-library/style.min.css?ver=5.2.5	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-includes/css/dist/block-library/style.min6619.css	(from http://www.tedxyouthalamitosbay.com/)
12:44:32	1606/1606	---MCZ	200	added ('OK')	text/css	etag:W/%2259aaef19-646%22	http://www.tedxyouthalamitosbay.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.7	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-content/plugins/contact-form-7/includes/css/styles4906.css	(from http://www.tedxyouthalamitosbay.com/)
12:44:32	769/769	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22498b3da73bb8715aea025861cbaf02d7-gzip%22	http://www.tedxyouthalamitosbay.com/comments/feed/	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/comments/feed/index.html	(from http://www.tedxyouthalamitosbay.com/)
12:44:32	16365/16365	---MCZ	200	added ('OK')	text/css	etag:W/%2259aaef19-3fed%22	http://www.tedxyouthalamitosbay.com/wp-content/themes/themify-ultra/themify/themify-icons/themify-icons.css?ver=3.1.1	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-content/themes/themify-ultra/themify/themify-icons/themify-iconsb12b.css	(from http://www.tedxyouthalamitosbay.com/)
12:44:33	106529/106529	---MCZ	200	added ('OK')	text/css	etag:W/%2259aaea2a-1a021%22	http://www.tedxyouthalamitosbay.com/wp-content/themes/themify-ultra/style.css?ver=1.7.2	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-content/themes/themify-ultra/styleba3a.css	(from http://www.tedxyouthalamitosbay.com/)
12:44:33	25745/25745	---MCZ	200	added ('OK')	text/css	etag:W/%2259aaea2a-6491%22	http://www.tedxyouthalamitosbay.com/wp-content/themes/themify-ultra/media-queries.css?ver=1.7.2	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-content/themes/themify-ultra/media-queriesba3a.css	(from http://www.tedxyouthalamitosbay.com/)
12:44:33	5107/5107	---MCZ	200	added ('OK')	text/css	etag:W/%2259aaea2a-13f3%22	http://www.tedxyouthalamitosbay.com/wp-content/themes/themify-ultra/styles/header-top-bar.css?ver=5.2.5	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-content/themes/themify-ultra/styles/header-top-bar6619.css	(from http://www.tedxyouthalamitosbay.com/)
12:44:33	3232/3232	---MCZ	200	added ('OK')	text/css	etag:W/%2259aaea2a-ca0%22	http://www.tedxyouthalamitosbay.com/wp-content/uploads/themify-customizer.css?ver=17.03.26.19.40.10	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-content/uploads/themify-customizerfea8.css	(from http://www.tedxyouthalamitosbay.com/)
12:44:33	20716/20716	---MCZ	200	added ('OK')	text/css	etag:W/%2259aaea2a-50ec%22	http://www.tedxyouthalamitosbay.com/wp-content/uploads/themify-css/themify-builder-10-generated.css?ver=19.12.18.14.45.07	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-content/uploads/themify-css/themify-builder-10-generated246e.css	(from http://www.tedxyouthalamitosbay.com/)
12:44:34	64188/64188	---MCZ	200	added ('OK')	text/css	etag:W/%2259aaef19-fabc%22	http://www.tedxyouthalamitosbay.com/wp-content/plugins/jetpack/css/jetpack.css?ver=4.7.1	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-content/plugins/jetpack/css/jetpack6996.css	(from http://www.tedxyouthalamitosbay.com/)
12:44:34	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573eaa90-2748%22	http://www.tedxyouthalamitosbay.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://www.tedxyouthalamitosbay.com/)
